Longitude;Latitude;Street;CityID;StateID;CountryID;ContinentID
48.22190583895002;16.399699098360156;Ybbsstrasse 25;2823;1351;13;5
48.217553175320774;16.383564577763835;Rotensterngasse 19;2823;1351;13;5
40.64631339441244;-73.95102420106161;118 E 28th St;1831;881;225;2
40.62574392230435;-73.94560615644012;1047 E 31st St;1831;881;225;2
51.52190627572071;-0.1073268153107308;12 Onslow St;1494;468;224;5
51.526236458298825;-0.1238909705100173;15 Judd St;1494;468;224;5
19.370006874069976;-99.16670241933878;Nicolas San Juan 1628;1666;1431;136;2
19.420978972102457;-99.16848437625336;Valladolid 34;1666;1431;136;2
35.68607912619572;139.80630699875317;4-chome-9 Morishita;2695;1432;104;3
35.73282342536184;139.79836521624813;7-chome-1 Minamisenju;2695;1432;104;3
41.900138481064495;12.472376499241355;Via di Tor Sanguigna, 13;2234;698;102;5
41.895485929116965;12.465705681071096;Lungotevere Farnesina, 34;2234;698;102;5
-22.945363285983806;-43.18237204651486;Praia de Botafogo, 324;2218;1068;28;2
-22.973144406287524;-43.41414073541491;Av. Canal do Rio Cacambe, 13;2218;1068;28;2
50.088309097382144;14.427137080734816;Kralodvorska 13;2108;1433;54;5
50.07949044665512;14.429965338906442;Vaclavske nam. 67;2108;1433;54;5
55.64936172653379;37.514889917254656;ul. Miklukho-Maklaya, 23;1729;1434;176;3
55.77132584460873;37.58999230921754;2-Ya Brestskaya Ulitsa, 23;1729;1434;176;3
43.64602744035566;-79.38306879535791;56 York St;2710;952;36;2
43.680989011168194;-79.42959478114817;788 St Clair Ave W;2710;952;36;2
48.22221859746513;16.399094137753792;Harkortstrasse;2823;1351;13;5
48.223687493546315;16.401180896288306;Vorgartenstrasse;2823;1351;13;5
48.21901970980362;16.38061799543274;Taborstrasse;2823;1351;13;5
48.21618671266512;16.386573734800884;Nestroyplatz;2823;1351;13;5
40.647088049313105;-73.95202774171081;Rogers Ave/Tilden Av;1831;881;225;2
40.645088051625955;-73.94899102237397;Beverly Road Station;1831;881;225;2
40.624670363946585;-73.94327527278055;Ave K /New York Av;1831;881;225;2
40.62947131381076;-73.94398637124125;Flatbush Av/Av I;1831;881;225;2
51.520568512058446;-0.10603992679563876;Farringdon Station (Stop A);1494;468;224;5
51.522258431743914;-0.10556956798408049;Clerkenwell Green (Stop K);1494;468;224;5
51.52503002119396;-0.12808269178100606;Tavistock Square (Stop N);1494;468;224;5
51.52900248225155;-0.12688157894150823;British Library (Stop C);1494;468;224;5
19.371136559123798;-99.1643707346881;Terminal Metro Zapata;1666;1431;136;2
19.37127254137619;-99.1681563644779;Eje 7 Sur Felix Cuevas - Gabriel Mancera;1666;1431;136;2
19.422251235257583;-99.17032365653134;Sevilla-av Chapultepec;1666;1431;136;2
19.419369366086805;-99.16981330422357;Eje 3 Poniente Salamanca;1666;1431;136;2
35.687162107859116;139.8060109477647;Kikukawa Sta.;2695;1432;104;3
35.68310675035403;139.80659658047418;Shirakawa;2695;1432;104;3
35.73361207710308;139.80008379123097;Minamisenju Eki Higashiguchi;2695;1432;104;3
35.729446718332305;139.79937954590895;Namidabashi;2695;1432;104;3
41.901034553522194;12.472214135300595;Zanardelli;2234;698;102;5
41.89804922963433;, 12.473932268228497;Rinascimento;2234;698;102;5
41.894455134894365;12.466874225154067;Lgt Farnesina;2234;698;102;5
41.89637134550479;12.461458428128747;Psg Gianicolo/Poliambulatorio;2234;698;102;5
-22.94726569945416;-43.18209833132629;Praia de Botafogo proximo ao 2957-3201;2218;1068;28;2
-22.94359036408407;-43.18366474133162;Rua Muniz Barreto proximo ao 51-207;2218;1068;28;2
-22.972289700510782;-43.41391265291447;Estrada dos Bandeirantes proximo ao 8315-8321;2218;1068;28;2
-22.97370224309168;-43.410742281979005;Rua Abrahao Jabour proximo ao 740-858;2218;1068;28;2
50.08863730405031;14.429451787460938;Namesti Republiky;2108;1433;54;5
50.08932655335201;14.424351497507805;Masna;2108;1433;54;5
50.082111692008105;14.425871488125336;Vaclavske nam. 67;2108;1433;54;5
50.07985282590142;14.431394410944925;Muzeum;2108;1433;54;5
55.648384669482866;37.513782913901494;Akademika Volgina St;1729;1434;176;3
55.650854607424336;37.506380017300906;Meditsinskiy fakultet;1729;1434;176;3
55.7719102313385;37.592444575613804;Yuliusa Fuchika St;1729;1434;176;3
55.770638560167555;37.59538052496981;Mayakovskaya Station;1729;1434;176;3
43.64524528084401;-79.38063146954936;Union Station;2710;952;36;2
43.64780723926258;-79.38373210305308;York St At King St West;2710;952;36;2
43.68023320610153;-79.43288365244469;Winona;2710;952;36;2
43.682104454057445;-79.4239392732342;St Clair Ave West at Wychwood Ave West Side;2710;952;36;2
48.20565062890334;16.36478029835976;Hofburg;2823;1351;13;5
48.18581953232709;16.31275326952357;Schoenbrunner Schlossstrasse 47;2823;1351;13;5
40.689264372833705;-74.04448191025169;Liberty Island;1831;881;225;2
40.78127035520602;-73.96653421292417;79th Street & 85th Street;1831;881;225;2
51.503297279636485;-0.11954297271940478;Riverside Building;1494;468;224;5
51.50137065829317;-0.1419329168977256;London SW1A 1AA;1494;468;224;5
19.432654529590202;-99.13319473217284;P.za de la Constitucion;1666;1431;136;2
19.43527008916251;-99.1412519706078;Av. Juarez;1666;1431;136;2
35.685275852319585;139.75272408610033;1-1 Chiyoda;2695;1432;104;3
35.71476367281087;139.7966538292993;2 Chome-3-1 Asakusa;2695;1432;104;3
41.89021017922426;12.492187982868536;Piazza del Colosseo;2234;698;102;5
41.897614551015145;12.498419127046919;P.za di Santa Maria Maggiore;2234;698;102;5
-22.951912594889667;-43.21049229678676;Parque Nacional da Tijuca - Alto da Boa Vista;2218;1068;28;2
-22.949297528384584;-43.154575730130915;Urca;2218;1068;28;2
50.091089696142504;14.401605769572178;Hradcany;2108;1433;54;5
50.08648396337884;14.41142586957209;Karluv most;2108;1433;54;5
55.75200516676532;37.61747794089056;Vozdvizhenka St. 1/13;1729;1434;176;3
55.752504766997376;37.6230653408907;Red Square;1729;1434;176;3
43.66770967912377;-79.39477710174906;100 Queens Park;2710;952;36;2
43.65442265414673;-79.38071013058503;220 Yonge St;2710;952;36;2
